EPIC,SUB-EPIC,API 명칭,엔드포인트,메서드,사용 계층,구현,연동,설명,우선순위,테스트,노트
,,내부 양식!!!!!,,,,시작 전,시작 전,,,,
Doc PR 기반 문서 관리,문서 관리,문서 편집,PATCH /documents/{documentId},PATCH,R,시작 전,시작 전,초안 상태 문서 내용을 수정한다.,1,미진행,
Doc PR 기반 문서 관리,문서 관리,문서 생성,POST /documents,POST,R,시작 전,시작 전,새 문서를 초안 상태로 생성한다.,1,미진행,
Doc PR 기반 문서 관리,문서 관리,문서 검색,GET /documents/search,GET,전체,시작 전,시작 전,제목·내용 기준으로 문서를 검색한다.,2,미진행,
Doc PR 기반 문서 관리,문서 관리,문서 삭제·보관,DELETE /documents/{documentId},DELETE,"R, 팀 관리자",시작 전,시작 전,문서를 삭제하거나 보관 처리한다.,2,미진행,
Doc PR 기반 문서 관리,문서 관리,문서 목록 조회,GET /documents,GET,전체,시작 전,시작 전,열람 권한이 있는 문서 목록을 조회한다.,1,미진행,
Doc PR 기반 문서 관리,사람 리뷰,Merge 확정,POST /doc-prs/{prId}/merge,POST,A,시작 전,시작 전,승인된 Doc PR을 공식 문서로 병합 확정한다.,1,미진행,
Doc PR 기반 문서 관리,사람 리뷰,재제출,POST /doc-prs/{prId}/resubmit,POST,R,시작 전,시작 전,반려된 Doc PR을 수정 후 재제출한다.,1,미진행,
Doc PR 기반 문서 관리,사람 리뷰,Doc PR 승인,POST /doc-prs/{prId}/approve,POST,A,시작 전,시작 전,A 역할이 Doc PR을 승인 처리한다.,1,미진행,
Doc PR 기반 문서 관리,사람 리뷰,예외 Merge,POST /doc-prs/{prId}/merge/exception,POST,A,시작 전,시작 전,차단 조건에도 불구하고 A가 예외적으로 Merge하며 사유를 기록한다.,1,미진행,
Doc PR 기반 문서 관리,사람 리뷰,리뷰어 의견 등록,POST /doc-prs/{prId}/human-reviews,POST,"A, C",시작 전,시작 전,지정된 리뷰어가 Doc PR에 리뷰 의견을 남긴다.,1,미진행,
Doc PR 기반 문서 관리,사람 리뷰,Doc PR 반려,POST /doc-prs/{prId}/reject,POST,"A, C",시작 전,시작 전,Doc PR을 반려하고 사유를 기록한다.,1,미진행,
Doc PR 기반 문서 관리,Doc PR 워크플로우,Doc PR 상세/상태 조회,GET /doc-prs/{prId},GET,"A, C, I, R",시작 전,시작 전,Doc PR의 현재 상태(생성/AI리뷰/사람리뷰/반려/재제출/확정/리뷰어지정필요)를 조회한다.,1,미진행,
Doc PR 기반 문서 관리,Doc PR 워크플로우,Doc PR 이력 조회,GET /doc-prs/{prId}/history,GET,"A, C, I, R",시작 전,시작 전,상태 전이별 수행자·시각·사유·리뷰근거 이력을 조회한다.,2,미진행,
Doc PR 기반 문서 관리,Doc PR 워크플로우,초안 → Doc PR 전환,POST /documents/{documentId}/doc-prs,POST,R,시작 전,시작 전,문서 초안을 Doc PR로 전환하고 승인권자(A)를 지정한다.,1,미진행,
Doc PR 기반 문서 관리,Doc PR 워크플로우,Merge 가능 여부 확인,GET /doc-prs/{prId}/merge-check,GET,A,시작 전,시작 전,DocumentLion반려·리뷰미완료·승인권자부재·충돌미해결 등 Merge 차단 조건을 확인한다.,1,미진행,
Doc PR 기반 문서 관리,Doc PR 워크플로우,대체 승인권자 지정,PATCH /doc-prs/{prId}/approver,PATCH,팀 관리자,시작 전,시작 전,승인권자 부재 시 팀 관리자가 대체 승인권자를 지정한다.,1,미진행,
Doc PR 기반 문서 관리,알림,알림 목록 조회,GET /notifications,GET,전체,시작 전,시작 전,사용자에게 온 알림을 조회한다.,2,미진행,
Doc PR 기반 문서 관리,알림,리뷰 요청 알림 생성,내부 이벤트 (엔드포인트 없음),,시스템(자동),시작 전,시작 전,Doc PR 생성 시 리뷰어·승인권자에게 알림을 생성한다. Doc PR 생성 로직 내부에서 트리거됨.,2,,
Doc PR 기반 문서 관리,알림,상태 변경 알림 생성,내부 이벤트 (엔드포인트 없음),,시스템(자동),시작 전,시작 전,반려/승인/Merge 등 상태 변경 시 알림을 생성한다. 상태 변경 로직 내부에서 트리거됨.,2,,
Doc PR 기반 문서 관리,알림,다음 작업자 지정 알림 생성,내부 이벤트 (엔드포인트 없음),,시스템(자동),시작 전,시작 전,Follow-the-Sun 다음 작업자 지정 시 알림을 생성한다.,2,,
Doc PR 기반 문서 관리,AI CIO 오케스트레이션,AI 기능 실행 명령 전달,내부 로직 (프론트엔드 미노출),,AI(CIO),시작 전,시작 전,AI Writing Assistant·DocumentLion·Dev-aware Translation에 작업 실행을 명령하는 내부 오케스트레이션 호출. 각 기능의 POST 요청 처리 내부에서 트리거된다.,3,,
Doc PR 기반 문서 관리,AI CIO 오케스트레이션,AI 제안 결과 2차 검토(CIO),내부 로직 (프론트엔드 미노출),,AI(CIO),시작 전,시작 전,AI 제안 결과가 팀 프로젝트 맥락·컨벤션에 맞는지 CIO가 2차 검토하는 내부 파이프라인 단계. 결과는 각 AI 기능 응답에 포함되어 반환된다. Doc PR 승인/Merge와는 무관.,3,,
Doc PR 기반 문서 관리,AI Writing Assistant,관련 문서 맥락 인용 조회,GET /documents/{documentId}/writing-assistant/context,GET,"AI(CIO), R",시작 전,시작 전,Document Graph 기반 연결 문서 맥락 인용 정보를 조회한다.,3,미진행,
Doc PR 기반 문서 관리,AI Writing Assistant,AI 제안 수용/거부 처리,PATCH /documents/{documentId}/writing-assistant/suggestions/{suggestionId},PATCH,R,시작 전,시작 전,AI 제안을 초안에 반영할지 여부를 기록한다.,3,미진행,
Doc PR 기반 문서 관리,AI Writing Assistant,문서 구조 가이드 제안 요청,POST /documents/{documentId}/writing-assistant/structure,POST,"AI(CIO), R",시작 전,시작 전,작성 중인 문서에 목차·필수 섹션 구조를 추천받는다.,3,미진행,
Doc PR 기반 문서 관리,Document Graph,버전별 변경 이력 조회,GET /documents/{documentId}/versions,GET,전체,시작 전,시작 전,공식 문서의 버전별 변경 내용과 연결 Doc PR 이력을 조회한다.,2,미진행,
Doc PR 기반 문서 관리,Document Graph,문서 관계 그래프 조회,GET /documents/{documentId}/graph,GET,전체,시작 전,시작 전,상위·하위·연결 문서 관계를 그래프로 조회한다.,2,미진행,
Doc PR 기반 문서 관리,Document Graph,Impact Analysis 조회,GET /documents/{documentId}/impact,GET,전체,시작 전,시작 전,문서 수정 시 영향받는 연결 문서 목록을 조회한다.,2,미진행,
