API 명칭,EPIC,SUB-EPIC,구현,노트,메서드,사용 계층,설명,엔드포인트,연동,우선순위,테스트
문서 목록 조회,Doc PR 기반 문서 관리,문서 관리,시작 전,,GET,전체,열람 권한이 있는 문서 목록을 조회한다.,GET /documents,시작 전,1,미진행
문서 삭제·보관,Doc PR 기반 문서 관리,문서 관리,시작 전,,DELETE,"R, 팀 관리자",문서를 삭제하거나 보관 처리한다.,DELETE /documents/{documentId},시작 전,2,미진행
문서 검색,Doc PR 기반 문서 관리,문서 관리,시작 전,,GET,전체,제목·내용 기준으로 문서를 검색한다.,GET /documents/search,시작 전,2,미진행
문서 생성,Doc PR 기반 문서 관리,문서 관리,시작 전,,POST,R,새 문서를 초안 상태로 생성한다.,POST /documents,시작 전,1,미진행
문서 편집,Doc PR 기반 문서 관리,문서 관리,시작 전,,PATCH,R,초안 상태 문서 내용을 수정한다.,PATCH /documents/{documentId},시작 전,1,미진행
Doc PR 반려,Doc PR 기반 문서 관리,사람 리뷰,시작 전,,POST,"A, C",Doc PR을 반려하고 사유를 기록한다.,POST /doc-prs/{prId}/reject,시작 전,1,미진행
리뷰어 의견 등록,Doc PR 기반 문서 관리,사람 리뷰,시작 전,,POST,"A, C",지정된 리뷰어가 Doc PR에 리뷰 의견을 남긴다.,POST /doc-prs/{prId}/human-reviews,시작 전,1,미진행
예외 Merge,Doc PR 기반 문서 관리,사람 리뷰,시작 전,,POST,A,차단 조건에도 불구하고 A가 예외적으로 Merge하며 사유를 기록한다.,POST /doc-prs/{prId}/merge/exception,시작 전,1,미진행
Doc PR 승인,Doc PR 기반 문서 관리,사람 리뷰,시작 전,,POST,A,A 역할이 Doc PR을 승인 처리한다.,POST /doc-prs/{prId}/approve,시작 전,1,미진행
재제출,Doc PR 기반 문서 관리,사람 리뷰,시작 전,,POST,R,반려된 Doc PR을 수정 후 재제출한다.,POST /doc-prs/{prId}/resubmit,시작 전,1,미진행
협업 규칙 초안 생성 요청,문화 보더 해소,Team Collaboration Charter,시작 전,,POST,AI(CIO),"팀 생성 초기 1회, 팀원 협업 방식을 분석해 규칙 초안을 생성한다.",POST /teams/{teamId}/charter/draft,시작 전,4,미진행
Merge 확정,Doc PR 기반 문서 관리,사람 리뷰,시작 전,,POST,A,승인된 Doc PR을 공식 문서로 병합 확정한다.,POST /doc-prs/{prId}/merge,시작 전,1,미진행
다음 작업자 정보 조회,지리 보더 해소,Follow-the-Sun 워크플로우,시작 전,,GET,전체,다음 작업자가 필요한 상태와 인수인계 정보 위치를 조회한다.,GET /doc-prs/{prId}/next-assignee,시작 전,4,미진행
다음 작업자 지정 알림 생성,Doc PR 기반 문서 관리,알림,시작 전,,,시스템(자동),Follow-the-Sun 다음 작업자 지정 시 알림을 생성한다.,내부 이벤트 (엔드포인트 없음),시작 전,2,
내 접근 권한 조회,조직 보더 해소,RACI 역할 추천,시작 전,,GET,전체,현재 사용자의 RACI 역할별 열람 범위·허용 행동을 조회한다. 이 결과를 모든 API가 공통으로 적용한다.,GET /documents/{documentId}/my-permissions,시작 전,2,미진행
상태 변경 알림 생성,Doc PR 기반 문서 관리,알림,시작 전,,,시스템(자동),반려/승인/Merge 등 상태 변경 시 알림을 생성한다. 상태 변경 로직 내부에서 트리거됨.,내부 이벤트 (엔드포인트 없음),시작 전,2,
RACI 역할 지정/변경,조직 보더 해소,RACI 역할 추천,시작 전,,PUT,팀 관리자,문서 또는 Doc PR마다 R/A/C/I 역할과 지정 참여자를 지정·변경한다.,PUT /documents/{documentId}/raci,시작 전,2,미진행
리뷰 요청 알림 생성,Doc PR 기반 문서 관리,알림,시작 전,,,시스템(자동),Doc PR 생성 시 리뷰어·승인권자에게 알림을 생성한다. Doc PR 생성 로직 내부에서 트리거됨.,내부 이벤트 (엔드포인트 없음),시작 전,2,
로그인,계정 및 팀 관리,계정 관리,완료,,POST,전체,계정 정보로 인증하여 액세스 토큰을 발급받는다.,POST /auth/login,시작 전,1,미진행
알림 목록 조회,Doc PR 기반 문서 관리,알림,시작 전,,GET,전체,사용자에게 온 알림을 조회한다.,GET /notifications,시작 전,2,미진행
개인 프로필 설정,계정 및 팀 관리,계정 관리,완료,,PATCH,전체,이름·시간대·선호 언어 등 개인 정보를 수정한다.,PATCH /users/me,시작 전,3,미진행
AI 제안 결과 2차 검토(CIO),Doc PR 기반 문서 관리,AI CIO 오케스트레이션,시작 전,,,AI(CIO),AI 제안 결과가 팀 프로젝트 맥락·컨벤션에 맞는지 CIO가 2차 검토하는 내부 파이프라인 단계. 결과는 각 AI 기능 응답에 포함되어 반환된다. Doc PR 승인/Merge와는 무관.,내부 로직 (프론트엔드 미노출),시작 전,3,
로그아웃,계정 및 팀 관리,계정 관리,완료,,POST,전체,현재 세션(토큰)을 무효화한다.,POST /auth/logout,시작 전,1,미진행
AI 기능 실행 명령 전달,Doc PR 기반 문서 관리,AI CIO 오케스트레이션,시작 전,,,AI(CIO),AI Writing Assistant·DocumentLion·Dev-aware Translation에 작업 실행을 명령하는 내부 오케스트레이션 호출. 각 기능의 POST 요청 처리 내부에서 트리거된다.,내부 로직 (프론트엔드 미노출),시작 전,3,
회원가입,계정 및 팀 관리,계정 관리,완료,,POST,전체,이메일/비밀번호(또는 SSO)로 새 계정을 생성한다.,POST /auth/signup,시작 전,1,미진행
문서 구조 가이드 제안 요청,Doc PR 기반 문서 관리,AI Writing Assistant,시작 전,,POST,"AI(CIO), R",작성 중인 문서에 목차·필수 섹션 구조를 추천받는다.,POST /documents/{documentId}/writing-assistant/structure,시작 전,3,미진행
팀원 추방/탈퇴,계정 및 팀 관리,팀 관리,완료,,DELETE,"전체, 팀 관리자",팀 관리자가 팀원을 제거하거나 본인이 탈퇴한다.,DELETE /teams/{teamId}/members/{memberId},시작 전,2,미진행
AI 제안 수용/거부 처리,Doc PR 기반 문서 관리,AI Writing Assistant,시작 전,,PATCH,R,AI 제안을 초안에 반영할지 여부를 기록한다.,PATCH /documents/{documentId}/writing-assistant/suggestions/{suggestionId},시작 전,3,미진행
